Right Ascension,Declination,Gaia ID,unWISE ID,Parallax,Parallax Error,Proper Motion - Right Ascension,Proper Motion - Right Ascension Error,Proper Motion - Declination,Proper Motion - Declination Error,Parallax Significance,Proper Motion Significance,Galactic E(B-V) Reddening,Number of Observations for G-Band Photometry,Gaia G-Band Mean Magnitude,Gaia BP-Band Mean Magnitude,Gaia RP-Band Mean Magnitude,unWISE W1 Band Magnitude,unWISE W2 Band Magnitude,BP-G Color,BP-RP Color,G-RP Color,G-W1 Color,Gaia-unWISE Separation,W1-W2 Color,G-Band Variation,BP/RP Excess Factor,Astronomic Excess Noise,Goodness-of-fit,"Gaia Sources Within 1"" Radius","Gaia Sources Within 2"" Radius","Gaia Sources Within 4"" Radius",Gaia Sources Within 8' Radius,"Gaia Sources Within 16"" Radius","Gaia Sources Within 32"" Radius",Photometric Redshift Predicted,AGN Probability,Number of Sectors
82.82097407,-55.07432525,4767016362545833856,b'0817m546o0005530',0.024007062,0.104678722,0.031331669,0.219317314,0.53917384,0.225447782,0.229340416,2.395831674,0.056494001,251,17.98702952,18.02201513,17.62223219,13.13402367,12.0475502,0.03498561,0.39978323,0.364797329,4.853005851,0.319009501,1.086473465,0.147177955,1.298380017,0,1.307340026,1,1,1,1,1,2,0.56471003,1,14
115.8817156,-67.44042963,5274130508466009344,b'1147m682o0041448',-0.024911981,0.038043297,0.068304303,0.080790334,-0.087488226,0.107057585,0.65483235,1.175846786,0.139204994,220,15.74258416,15.87016749,15.32385186,13.21226788,12.28872871,0.127583326,0.546315654,0.418732299,2.530316287,0.058670004,0.923539162,0.034994207,1.271379948,0.097488099,1.879490018,1,1,1,1,1,3,1.82772517,0.97,13
101.3187315,-57.13874422,5484522947497407616,b'1024m576o0031870',-0.095379729,0.045780025,-0.046707466,0.102181029,-0.143332556,0.106617798,2.083435509,1.419945477,0.067355998,204,16.30377892,16.3775216,16.02445862,12.66483021,11.47173405,0.073742676,0.353062961,0.2793203,3.638948714,0.027793489,1.193096161,0.030642369,1.226379991,0.076144192,0.613929987,1,1,1,1,2,5,0.832767205,1,13
97.1225694,-57.16430179,5495218726030219392,b'0969m576o0028956',-0.15821547,0.082907315,-0.04109334,0.184813574,0.138527628,0.179476293,1.90834149,0.803232324,0.122045003,194,16.90491981,16.85805307,16.3584876,12.15698719,11.1983881,-0.046866748,0.499566058,0.546432217,4.747932623,0.08593518,0.958599091,0.0549252,1.459830046,0.396607718,2.875319958,1,1,1,2,3,3,0.228450243,1,13
99.00626375,-56.08313575,5496965025373444864,b'0986m561o0018438',0.038832101,0.071242375,-0.03916257,0.131311381,-0.241416181,0.145111564,0.545070276,1.690180476,0.098705001,240,16.94982703,17.06116518,16.61937875,13.00166225,11.67441273,0.111338151,0.441786415,0.330448278,3.948164775,0.060819791,1.327249527,0.017576825,1.229359984,0,-0.269333988,1,1,1,1,2,3,0.932435781,1,13
88.49088192,-55.35950519,4767335358357516032,b'0879m561o0035591',-0.288953176,0.088234694,-0.058150527,0.208639214,0.228778909,0.168635396,3.274824949,1.384982127,0.104486004,212,16.97711904,16.99709812,16.22685059,11.66998482,10.67134857,0.019979084,0.770247559,0.750268445,5.307134219,0.058243599,0.998636246,0.078571553,1.573680043,0.481616706,4.977270126,1,1,1,1,3,4,0.162144206,1,13
92.57180764,-55.04730689,5499402981953449472,b'0919m546o0006439',-0.069949976,0.067469105,-0.309478577,0.140384756,-0.025589635,0.121247844,1.036770476,2.214582433,0.071484998,258,16.98257439,17.0547677,16.65295462,14.14487648,12.79660988,0.072193305,0.401813044,0.329619769,2.837697911,0.080328356,1.348266602,0.025331829,1.254119992,0,0.025347101,1,1,1,1,2,4,1.640627001,1,13
99.93822316,-58.91719252,5483470439991478784,b'1008m591o0024870',-0.159881061,0.08131019,-0.088996952,0.153254235,-0.101509087,0.219117018,1.966310268,0.742861421,0.092782997,229,17.15971005,17.29623422,16.78951078,13.93106556,12.57268333,0.136524178,0.506723455,0.370199262,3.228644486,0.03860688,1.358382225,0.089834864,1.238440037,0.181390084,1.033290029,1,1,1,1,3,6,1.405486625,1,13
107.3143015,-58.57856063,5486530449571537408,b'1065m591o0033203',-0.137051301,0.102289126,-0.124710036,0.210536344,0.328469301,0.176452278,1.339842335,1.953490627,0.118686996,173,17.16567028,17.37193274,16.69689603,13.58443642,12.20567799,0.206262468,0.675036681,0.468774243,3.581233859,0.022528559,1.37875843,0.026505191,1.261759996,0,0.918036997,1,1,1,1,1,3,1.45827358,1,13
104.7179834,-56.95364048,5484144513635251072,b'1052m576o0037174',0.036171652,0.093459458,0.183412437,0.182272827,-0.076921634,0.171631028,0.387030405,1.101548478,0.113482997,203,17.16793971,17.22900591,16.69400622,13.09097385,12.04645634,0.061066203,0.534998684,0.473933494,4.076965856,0.017314174,1.044517517,0.093124783,1.344759941,0.085580276,1.462290049,1,1,1,1,2,4,0.35763685,1,13
93.07984988,-55.73922599,5499143394129291904,b'0933m561o0027834',-0.027008068,0.074524338,-0.168023149,0.166905554,0.23985159,0.188773711,0.362406007,1.621050106,0.047031999,202,17.19424729,17.31983967,16.85429907,14.70224762,13.60341167,0.125592384,0.46554063,0.339948215,2.491999671,0.057342355,1.098835945,0.051377714,1.230739951,0.118181321,1.436499953,1,1,1,1,2,5,1.919943038,1,13
94.34832462,-57.73211636,5495259820277738368,b'0941m576o0015691',-0.122783392,0.075620149,0.076322855,0.139380937,-0.064855181,0.155403054,1.623686195,0.688489397,0.038506001,228,17.21447255,17.24767393,16.80945934,12.91820717,11.85763454,0.033201378,0.438215084,0.405013208,4.296265379,0.066853247,1.060572624,0.077672561,1.324790001,0,0.242807999,1,1,1,1,3,5,0.433092796,1,13
107.7600983,-65.4682305,5282271292558536448,b'1083m652o0012163',0.071742705,0.083408656,-0.054140421,0.18758551,-0.277005875,0.165759544,0.860135012,1.695870864,0.112250999,630,17.2160231,17.24730644,16.74298086,12.650527,11.67224121,0.031283344,0.504326595,0.473042238,4.565496096,0.144457541,0.978285789,0.048270191,1.361960053,0.23261619,1.745740056,1,1,1,2,2,5,0.311661807,1,13
115.5374886,-67.23972289,5274889545149258368,b'1150m667o0004905',0.076911638,0.084799358,0.134444078,0.157498854,-0.361608546,0.202498117,0.906983725,1.979274015,0.136768997,288,17.24857699,17.34826817,16.83360411,14.33623409,13.14655972,0.099691184,0.514664043,0.414972873,2.912342894,0.068959814,1.189674377,0.036287825,1.284389973,0.223364021,0.764959991,1,1,1,2,2,7,1.753194331,0.99,13
114.2341312,-74.23856946,5214584738276473088,b'1164m743o0020982',0.120945063,0.111063721,0.185791352,0.210701653,-0.108102089,0.229732678,1.088970025,0.9994745,0.218400002,192,17.27811108,17.24450702,17.07821011,13.75669765,12.75854397,-0.03360406,0.166296905,0.199900965,3.521413423,0.220319066,0.998153687,0.047380223,1.230280042,0.201775048,0.463892996,1,1,1,1,2,3,0.699146893,0.97,13
77.06835878,-57.76141325,4763849665978559104,b'0775m576o0013334',-0.070466445,0.074840031,0.133224628,0.138757917,0.026826267,0.189623198,0.941560877,0.970489459,0.020767,255,17.40655154,17.51261889,17.09179457,13.41781712,12.17197227,0.106067343,0.42082534,0.314756976,3.988734427,0.048644295,1.245844841,0.025307932,1.23150003,0,-1.362990022,1,1,1,1,1,3,0.865163498,1,13
108.9551746,-59.73345244,5485438187848303872,b'1094m591o0003109',0.157941801,0.112821095,-0.453639964,0.250700148,0.028425705,0.210979298,1.399931467,1.814501254,0.161096007,203,17.4134396,17.51885963,17.03561511,14.38441849,13.03441906,0.105420039,0.483244536,0.377824482,3.029021109,0.219536771,1.349999428,0.027478637,1.257650018,0,0.089583598,1,1,1,1,2,4,1.531246563,1,13
77.08305468,-56.94992408,4764270267832427392,b'0775m576o0031703',-0.008283975,0.121201673,-0.162040649,0.209611651,0.178046281,0.207533007,0.068348682,1.154829897,0.022498,185,17.44733671,17.55726409,17.10050332,13.69616127,12.51004028,0.109927375,0.456761746,0.346833387,3.751175441,0.02986671,1.186120987,0.079450553,1.246279955,0,0.398167998,1,1,1,1,1,4,0.886440637,1,13
92.93482238,-55.10159548,5499376048214341376,b'0919m546o0004931',-0.019126458,0.119347547,0.099615667,0.257419762,0.026007288,0.217276267,0.160258491,0.40506661,0.060763001,227,17.45545085,17.5951392,16.77164754,13.06472683,12.1864996,0.139688349,0.823491662,0.683803314,4.390724021,0.068684182,0.878227234,0.066090461,1.446920037,0.615780548,5.562250137,1,1,1,1,3,6,0.240935888,1,13
72.73643885,-58.90069331,4774003449703333888,b'0720m591o0022372',-0.165647742,0.088900258,-0.100442255,0.167743665,0.149567932,0.233930253,1.863298788,0.875977288,0.024533,200,17.45991258,17.6111994,17.12829604,14.45339203,13.16021252,0.15128682,0.482903357,0.331616538,3.006520552,0.077678379,1.293179512,0.031957451,1.213449955,0,-0.076999404,1,1,1,1,1,1,1.584981833,1,13
82.01301638,-57.60684158,4760301099575483776,b'0830m576o0018204',0.081620374,0.113829149,0.12933145,0.206437267,-0.175003005,0.223281726,0.71704282,1.003393747,0.034042999,171,17.4637676,17.50980138,17.17574537,14.29951096,12.9381094,0.046033779,0.334055126,0.288022226,3.164256645,0.032944448,1.361401558,0.031827081,1.252619982,0.432708556,2.436579943,1,1,1,1,2,4,1.229771168,1,13
97.15628862,-56.22926736,5495505251888440960,b'0959m561o0014481',-0.037150072,0.118300492,0.273755421,0.225578008,0.194182149,0.197355862,0.314031426,1.562323952,0.102320999,187,17.47268881,17.5487026,17.20703874,14.89580822,13.7865839,0.076013799,0.341663884,0.26565007,2.576880586,0.148641172,1.109224319,0.070001294,1.213729978,0,-0.180636004,1,1,1,1,1,4,1.575889321,1,13
79.51498492,-55.66034634,4769661718802547200,b'0799m561o0027880',-0.013149008,0.08020591,-0.184372496,0.199909513,0.237841589,0.165258966,0.163940634,1.709360112,0.028027,234,17.51440103,17.68634526,17.11450434,14.01818752,12.74683094,0.171944228,0.571839933,0.399896689,3.496213505,0.113566051,1.271356583,0.035941908,1.239519954,0.106856173,1.64278996,1,1,1,1,1,4,1.233837156,1,13
68.87837043,-60.08301105,4677902839196110592,b'0690m606o0029827',-0.000593443,0.099558805,-0.303487907,0.197460408,0.281769562,0.266050654,0.005960726,1.866517732,0.020369001,207,17.51821182,17.62840407,17.19466215,14.42511749,13.0779953,0.110192244,0.433741913,0.323549669,3.09309433,0.115393431,1.347122192,0.034050992,1.233759999,0.420807817,3.433409929,1,1,1,1,1,2,1.36087221,1,13
100.0074047,-58.99961789,5483457383290788864,b'1008m591o0022714',0.311707172,0.103289823,0.177131606,0.20294471,0.444987429,0.317394742,3.017791726,1.6514831,0.091321997,205,17.5186035,17.56527231,17.29229391,13.94059563,12.85062408,0.046668808,0.272978408,0.226309592,3.578007876,0.008424792,1.089971542,0.030672656,1.211959958,0,1.233430028,1,1,1,1,1,3,0.740491278,1,13
114.7490701,-67.35299409,5274871338785607936,b'1150m667o0001906',0.236501611,0.141871246,-0.04945647,0.217287541,-0.042259168,0.206487622,1.667015819,0.306088441,0.139879003,259,17.51888874,17.70229802,17.12594747,14.91275787,14.01131725,0.183409274,0.576351532,0.392941275,2.606130871,0.123614351,0.90144062,0.045580639,1.225870013,0,1.305809975,1,1,1,1,3,7,2.320485008,1,13
102.9825011,-58.13261916,5483787408577724288,b'1024m576o0005213',-0.058884604,0.106208984,0.207050205,0.203172165,0.3523238,0.238448835,0.554422062,1.794920444,0.123724997,229,17.52954301,17.67505976,17.12736801,14.47327423,13.1408205,0.14551675,0.547690771,0.402175004,3.056268781,0.118373561,1.332453728,0.029983802,1.251610041,0,0.838380992,1,1,1,1,1,2,1.613906629,1,13
102.1513643,-58.97179069,5483328465552504320,b'1008m591o0023318',0.007987519,0.181752322,-0.257257368,0.365263931,-0.745395295,0.51363968,0.043947272,1.613082586,0.157886997,192,17.53029165,17.39912237,16.43649276,12.71604633,11.8145237,-0.13116928,0.962631155,1.093798886,4.814245316,0.262484796,0.901522636,0.0868571,2.023329973,1.110199619,12.1239996,1,1,1,1,2,5,0.161937176,0.98,13
90.19391978,-54.68516877,5500326296842025088,b'0893m546o0014688',0.112801791,0.093627748,0.180329725,0.260500718,-0.069851581,0.190959752,1.204790184,0.782945649,0.079884,230,17.53259003,17.71151759,17.06196549,14.36129951,13.14735508,0.178927562,0.649552102,0.47062454,3.171290516,0.097437182,1.213944435,0.054316473,1.27681005,0.259410062,1.587679982,1,1,1,2,2,5,1.565251137,1,13
97.28139261,-58.86459044,5482796405003918848,b'0979m591o0025298',-0.132427067,0.104728571,-0.405879716,0.216656764,-0.214784223,0.221767594,1.264478896,2.108922082,0.06261,192,17.56782818,17.67676662,17.20136181,13.86344433,12.57075214,0.108938438,0.475405791,0.366466369,3.704383849,0.180770721,1.292692184,0.036871247,1.253990054,0,0.990935028,1,1,1,1,1,4,1.02820376,1,13
89.27518709,-55.26382404,4767656282609753472,b'0879m561o0037859',0.120777636,0.136739427,-0.422484159,0.359047068,0.220513701,0.26085987,0.883268554,1.448851126,0.088348001,183,17.58272998,17.60633162,17.32999861,13.88622284,12.65644932,0.023601639,0.276333133,0.252731374,3.696507141,0.016172412,1.229773521,0.066555021,1.240159988,0,0.427109003,1,1,1,1,1,3,0.886668783,1,13
68.9497939,-59.5790665,4678080375964400512,b'0691m591o0006621',-0.109890866,0.092396383,0.095446283,0.190370804,0.204655109,0.23160539,1.18934165,1.015965912,0.021793,225,17.59461671,17.85394597,17.09636341,14.25081825,12.88742256,0.25932926,0.757582595,0.498253305,3.34379846,0.041934121,1.363395691,0.035833395,1.251479983,0,0.423543006,1,1,1,1,2,3,1.676652415,1,13
115.4754386,-70.62750442,5264389969315064576,b'1170m712o0034833',-0.072198135,0.108245816,-0.314438026,0.204160457,0.510344703,0.321386161,0.666983146,2.212158964,0.142388999,228,17.61549907,17.8510892,17.23723332,14.42262077,13.83232021,0.235590131,0.613855852,0.378265751,3.192878298,0.038739029,0.59030056,0.032523462,1.190739989,0,0.782462001,1,1,1,1,3,8,2.840753355,1,13
110.3328671,-59.86374293,5293351170013538560,b'1110m606o0040777',-0.165312298,0.146429095,-0.904119089,0.331635885,0.829187974,0.459480888,1.128957994,3.269409082,0.247338995,194,17.64528122,17.71973466,17.24770226,14.46266556,13.00631332,0.074453445,0.472031421,0.397578959,3.182615659,0.217712982,1.456352234,0.035433399,1.286919951,0.256059141,1.371379972,1,1,1,1,2,8,1.548626836,1,13
73.64427865,-57.797087,4762544034576595840,b'0747m576o0012203',-0.174533645,0.14787579,-0.306462004,0.282154525,0.107054648,0.326318312,1.180271934,1.134614257,0.012956,237,17.64856881,17.57377656,16.69703655,12.88446331,11.99420834,-0.074792258,0.87674022,0.951532262,4.764105505,0.038433311,0.890254974,0.087194573,1.80964005,1.01198278,11.23820019,1,1,1,1,1,2,0.201258895,1,13
89.54265265,-56.70504847,4767103533202193536,b'0906m561o0002720',0.059113921,0.105984918,0.141496997,0.240338891,-0.053701938,0.210320792,0.557757855,0.641723754,0.089877002,231,17.65165476,17.8976624,17.14516965,14.25062752,12.93477917,0.246007632,0.752491732,0.506485113,3.401027246,0.068664257,1.315848351,0.042017637,1.265280008,0,1.01888001,1,1,1,1,1,2,1.574883738,0.99,13
81.09663165,-56.68645394,4769346816096886400,b'0799m561o0003007',-0.12546756,0.121596064,-0.143047516,0.257543751,-0.469237505,0.285657785,1.031838991,1.734018894,0.035978001,167,17.66560917,17.57303042,17.02126029,13.49965191,12.64474583,-0.092578746,0.551770352,0.644348881,4.165957259,0.035497065,0.854906082,0.063687281,1.56614995,0.456498403,3.183589935,1,1,1,1,1,1,0.259435134,1,13
99.61110304,-59.47734349,5483233014199607936,b'1008m591o0009845',0.077935128,0.107570587,-0.419453124,0.281005952,0.050897122,0.280227923,0.724502205,1.503693613,0.089212,205,17.66972734,17.81935879,17.26595226,14.81003761,13.67996883,0.149631446,0.553406524,0.403775078,2.85968973,0.012162064,1.130068779,0.032481918,1.251250029,0,-1.887850046,1,1,1,1,1,2,1.920564291,1,13
80.03527371,-57.69226044,4763252802964291200,b'0803m576o0015292',-0.149053939,0.099369539,-0.064759299,0.207332418,0.19416527,0.233726297,1.499996278,0.887516118,0.026644999,210,17.68318449,17.71298636,17.42129579,13.97237015,12.65954399,0.029801866,0.291690272,0.2618887,3.710814344,0.050174596,1.312826157,0.053146177,1.250720024,0.337895645,2.399940014,1,1,1,1,1,1,1.02027643,1,13
96.86160178,-57.41433272,5495179482912688768,b'0969m576o0022657',-0.0438996,0.105963327,-0.376738902,0.219755334,-0.211727475,0.227805148,0.414290503,1.950088483,0.108119003,176,17.69803656,17.85668867,17.33779179,14.97013283,13.79238033,0.158652119,0.518896928,0.360244764,2.727903727,0.11006995,1.177752495,0.029114784,1.21984005,0,-0.456276,1,1,1,1,2,2,1.958808735,1,13
77.92295413,-56.95108897,4763530635808362368,b'0775m576o0031685',-0.103118897,0.095822446,-0.241168937,0.218107076,-0.046767282,0.181201227,1.076145533,1.135458711,0.021849001,218,17.70086699,17.80599537,17.38168647,14.87184811,13.58957481,0.105128382,0.424308908,0.319180519,2.829018883,0.157923158,1.282273293,0.031291357,1.234290004,0.219277379,0.137676001,1,1,1,2,4,4,1.726029651,1,13
92.30254658,-57.34946391,5495753844595700992,b'0913m576o0024837',-0.088643918,0.105634637,0.007825389,0.181737053,0.168340681,0.223825581,0.839155796,0.753338104,0.042787001,226,17.70546208,17.90839379,17.26824702,14.61060524,13.45444584,0.202931708,0.640146752,0.437215059,3.094856838,0.085619825,1.156159401,0.050926313,1.243710041,0.061745243,0.813736022,1,1,1,1,1,2,1.734201766,1,13
92.84975334,-56.16252158,5499052173320747264,b'0933m561o0016824',-0.073931273,0.117896673,0.278044935,0.246514486,-0.163302999,0.210162608,0.62708532,1.369652513,0.042185999,219,17.70706388,17.87585915,17.35069307,14.73190689,13.38327312,0.16879527,0.525166072,0.356370817,2.975156993,0.063657009,1.348633766,0.024339921,1.215620041,0,1.008939981,1,1,1,2,2,2,1.726568503,1,13
80.4701267,-57.30345131,4763346987302400128,b'0803m576o0024437',0.32127606,0.122103098,0.12877312,0.20871057,-0.053024923,0.236905793,2.631186806,0.656336773,0.030648001,224,17.71531641,17.77782816,17.09518418,14.08171272,13.17997456,0.062511744,0.682644351,0.620132234,3.633603691,0.158351968,0.901738167,0.08213645,1.445369959,0.165595559,0.604595006,1,1,1,2,2,3,0.725388159,1,13
109.9022505,-60.10769694,5293207099631457024,b'1110m606o0061254',-0.273936321,0.14004855,0.407122541,0.284939047,-0.523110108,0.582181842,1.95600969,1.68785335,0.204359993,234,17.72782936,17.86218594,17.29133583,14.64265823,13.31779575,0.134356577,0.570851069,0.436493538,3.085171129,0.269121912,1.32486248,0.034676091,1.280259967,0,0.108377002,1,1,1,1,1,6,1.628053537,1,13
96.70642552,-58.06664538,5483087225829457664,b'0969m576o0006362',-0.03152933,0.133537804,-0.29281346,0.252292914,0.051993457,0.331578287,0.236107896,1.17115399,0.100285001,193,17.73551576,17.80663192,17.33880415,14.47227859,13.16122818,0.071116164,0.467827769,0.396711605,3.263237161,0.048815804,1.311050415,0.0463982,1.291120052,0,-1.340720057,1,1,1,1,3,8,1.330900148,1,13
94.76029019,-56.36651642,5496184956232879360,b'0959m561o0011218',0.004213141,0.124303535,-0.490630902,0.275387834,0.395720074,0.218455385,0.033893977,2.540754494,0.056568,196,17.73713174,17.86803436,17.46448237,14.0929594,12.99051952,0.130902617,0.403550992,0.272649373,3.644172336,0.110411863,1.10243988,0.047156412,1.190559983,0.439558893,2.704139948,1,1,1,1,3,4,0.805063334,1,13
116.1783537,-70.34289359,5264423603203640192,b'1172m697o0002947',-0.036682359,0.128281016,0.44743804,0.235216328,0.261221603,0.234365914,0.285953138,2.204728367,0.164665997,246,17.74652458,17.89688418,17.39082626,14.67195606,13.77065086,0.150359593,0.50605792,0.355698327,3.074568522,0.09284598,0.901305199,0.03591115,1.220199943,0,0.834312975,1,1,1,1,1,4,2.164720709,1,13
88.43004432,-57.70803807,4765503885518618624,b'0886m576o0016150',0.170336606,0.106634563,-0.097887238,0.227317164,0.093320095,0.229941516,1.597386452,0.591727651,0.067275003,269,17.75159612,17.72495921,17.54620916,14.08972549,12.98146534,-0.026636918,0.178749553,0.205386963,3.66187063,0.205018166,1.108260155,0.08505572,1.251710057,0.35458745,3.085449934,1,1,1,2,4,7,0.695478031,1,13
104.5398082,-56.95215472,5484142482114339200,b'1052m576o0037202',-0.031680902,0.14312667,0.36076392,0.307218513,0.071186659,0.270567696,0.221348696,1.203404101,0.110271998,190,17.77179849,17.82483652,17.51117221,14.05269337,13.10415649,0.053038032,0.313663282,0.260626279,3.71910512,0.080394321,0.948536873,0.058528692,1.223680019,0,-0.748795986,1,1,1,1,2,7,0.682366354,1,13
102.5035042,-56.87308316,5484847548241953408,b'1024m576o0039271',-0.055979485,0.149210378,-0.137918191,0.289641217,0.450605613,0.294993393,0.375171522,1.600008262,0.104759999,204,17.78188879,17.77485173,17.13178234,13.64733791,12.80185509,-0.007037061,0.643069024,0.650106449,4.134550879,0.038699882,0.845482826,0.113472727,1.510519981,0.527946519,2.768640041,1,1,1,1,3,7,0.276487457,0.99,13
80.55507527,-57.2365582,4763370794305293696,b'0803m576o0047450',-0.076952996,0.113612792,0.151832004,0.244755731,0.156207419,0.250122264,0.67732687,0.880257596,0.031459,206,17.78965484,17.96964216,17.34289411,14.78584576,13.68860435,0.17998732,0.626748015,0.446760724,3.00380908,0.077131631,1.097241402,0.029817723,1.262490034,0,-0.37439701,1,1,1,2,2,4,1.840883554,1,13
121.0497778,-69.30620117,5270539258674784128,b'1213m697o0032738',-0.23789003,0.155645496,0.017406871,0.287989442,-0.405254101,0.366832466,1.528409335,1.106391159,0.186667994,177,17.80178307,17.79986844,17.54010349,14.12442398,13.07491112,-0.001914629,0.259764917,0.261679576,3.67735909,0.052713365,1.049512863,0.072355468,1.248790026,0,-0.495384008,1,1,1,1,1,7,0.672235876,1,13
94.82337399,-55.81986324,5496445299970578304,b'0959m561o0025165',0.041051557,0.103153025,-0.094898139,0.231659558,-0.262210758,0.246055296,0.397967554,1.141681012,0.067489997,237,17.80222207,17.94105038,17.38700423,14.99192047,14.09706879,0.138828309,0.554047143,0.415217836,2.810301598,0.070413105,0.894851685,0.038567307,1.265059948,0,0.611663997,1,1,1,1,1,2,2.090463474,1,13
111.6895537,-64.45786134,5288379281512278528,b'1118m652o0040878',-0.182521263,0.152582757,0.192013014,0.330359477,0.106675909,0.28879432,1.196211596,0.688669875,0.178894997,534,17.80600142,17.85643394,17.37185921,14.78117657,13.95256996,0.050432517,0.484575715,0.434142215,3.024824856,0.112096305,0.828606606,0.035886228,1.323549986,0,0.0304357,1,1,1,1,1,4,2.119328511,0.99,13
103.9047849,-57.88158407,5483808471100066048,b'1052m576o0052134',-0.017986416,0.151959969,-0.15402591,0.315961622,0.032503712,0.292975816,0.118362857,0.499948065,0.108005002,172,17.83664033,18.0106808,17.35409156,15.08475018,13.83934212,0.174040472,0.656589181,0.482548768,2.751890156,0.230156588,1.245408058,0.031931074,1.287310004,0,-0.174941003,1,1,1,2,2,3,1.90624505,1,13
79.22721492,-58.92904493,4762884913244820096,b'0777m591o0021934',-0.041844137,0.107663351,-0.180452719,0.237682753,-0.006828409,0.276333808,0.388657209,0.759618747,0.028434001,238,17.84451592,17.94049603,17.554628,14.85942459,13.46877956,0.09598012,0.38586804,0.28988792,2.985091324,0.23812984,1.390645027,0.054844616,1.223520041,0,0.563601017,1,1,1,1,3,4,1.470803349,1,13
103.9157478,-57.33575925,5484039162381027328,b'1052m576o0026094',-0.062837104,0.101250248,0.204018411,0.22752293,-0.179800935,0.225336126,0.620611847,1.200308866,0.099489003,270,17.8517368,17.91927975,17.43819583,13.8290987,12.6460762,0.067542955,0.481083924,0.413540969,4.022638095,0.080694052,1.183022499,0.06810474,1.303480029,0,1.182109952,1,1,1,1,2,4,0.802721205,1,13
67.60798718,-60.12018269,4678686924130156160,b'0690m606o0028755',-0.080838874,0.102693743,-0.041133772,0.232993585,0.13459121,0.246707427,0.78718403,0.573404482,0.020151,221,17.85719273,17.99271165,17.48942988,14.93072891,13.77086067,0.135518915,0.503280758,0.367762855,2.926463822,0.204434968,1.15986824,0.032018981,1.24289,0,0.432594001,1,1,1,1,2,3,1.936589798,1,13
80.06781526,-57.11261187,4763364403394037120,b'0803m576o0029010',-0.077654301,0.105319049,-0.311516048,0.234508861,0.359707582,0.215858753,0.737324364,2.131075208,0.03167,217,17.85819189,17.92392635,17.56497663,15.36044502,14.3921442,0.065734458,0.358949512,0.293215262,2.497746872,0.056244551,0.968300819,0.069826126,1.243360043,0,-0.425834,1,1,1,1,3,3,2.169778681,1,13
92.393133,-54.8506682,5500171678019474432,b'0919m546o0011802',0.081143022,0.101358018,0.107827516,0.228897394,-0.138027032,0.215927301,0.800558496,0.794055583,0.076195002,269,17.86262207,17.93364246,17.55035708,14.61811829,13.18024063,0.071020387,0.383285385,0.312264998,3.244503789,0.039374931,1.437877655,0.039464811,1.244729996,0,-0.108278997,1,1,1,1,1,3,1.296055756,1,13
115.2534482,-73.27220456,5263052202964954624,b'1167m727o0005747',-0.228396118,0.190905597,-0.239241045,0.317307551,0.754336316,0.51008626,1.196382513,1.659952932,0.242337003,177,17.87601238,17.93452469,17.56604051,14.85136604,13.44675827,0.058512305,0.368483196,0.309971874,3.02464634,0.06966107,1.404607773,0.091713033,1.239889979,0.608117408,2.216789961,1,1,1,1,2,2,1.323034998,1,13
88.67301564,-57.01197068,4765631802528808448,b'0886m576o0033131',0.139314155,0.125829723,0.025018291,0.231135346,-0.288777443,0.263452473,1.107164126,1.101458627,0.08732,235,17.89327014,17.96952557,17.55843175,15.32275963,14.25550079,0.076255425,0.411093797,0.334838386,2.570510512,0.031381158,1.067258835,0.030465527,1.253059983,0,-0.577668011,1,1,1,1,1,3,2.199286587,1,13
95.21728516,-59.88185586,5482598149313781504,b'0960m606o0037471',0.160108362,0.114750553,0.173794703,0.301466975,-0.283046802,0.282999492,1.395273119,1.1544188,0.043223999,208,17.89329653,17.92572739,17.46376548,14.37296867,13.5562191,0.03243086,0.461961632,0.429531055,3.52032786,0.065526725,0.816749573,0.039637473,1.339249969,0,0.503753006,1,1,1,1,1,5,1.132366819,1,13
107.2406991,-61.12939931,5287168684849859584,b'1080m606o0006331',-0.326674777,0.119708607,-0.713993594,0.238457566,-0.134402634,0.234825293,2.728916357,3.048428976,0.103892997,248,17.90339933,18.13072457,17.44584556,14.11423874,12.88905525,0.227325238,0.684879009,0.457553771,3.789160595,0.058960581,1.225183487,0.093803282,1.243409991,0,0.064338699,1,1,1,1,4,6,1.074400641,1,13
103.5546317,-60.5824174,5479186364732998656,b'1020m606o0020596',0.215921717,0.138881859,0.161059724,0.313888355,0.956549077,0.456269064,1.554715055,2.158337536,0.132834002,208,17.90576462,18.22058173,17.37102619,14.04603481,12.85842991,0.314817113,0.84955858,0.534738427,3.859729805,0.035955987,1.187604904,0.039020505,1.254559994,0,-1.080790043,1,1,1,1,3,5,1.182809469,1,13
89.65052622,-56.94454703,4767076114130731264,b'0886m576o0034705',0.112867246,0.12337061,-0.105947309,0.241360397,0.015873362,0.276985184,0.914863316,0.442684008,0.074417002,243,17.92016011,18.07290913,17.52645479,14.94701576,13.76502132,0.152749016,0.546454342,0.393705327,2.97314435,0.072761614,1.181994438,0.042630035,1.244130015,0,0.482282996,1,1,1,1,1,2,1.881930125,1,13
